City,Address,Coordinates
город Докучаевск,"г. Докучаевск: ул. Ленина, 36","(46.59300102034512, 36.52924658633855)"
город Докучаевск,"ул. Ленина, 53","(46.84765823087454, 38.301390343531786)"
город Докучаевск,г. Докучаевск: ул. Центральная 85,"(48.88867885785994, 39.601024530379405)"
город Докучаевск,ул. Центральная 40/17,"(48.92956920745005, 37.1747967717691)"
город Докучаевск,"г. Докучаевск, перекресток улиц Лихолетова-Калинина","(46.94815583344553, 36.262579412516125)"
город Докучаевск,г. Докучаевск,"(47.326978864760264, 37.351758906250176)"
город Докучаевск,"ул. Ползунова, 55","(49.13531819882846, 39.48119591993299)"
город Докучаевск,"г. Докучаевск: ул. Центральная, 83","(49.34675238921223, 38.871751425908016)"
город Докучаевск,"ул. Тельмана, 1","(49.495532014620224, 38.02524452825273)"
город Докучаевск,"ул. Центральная, 25/12","(47.676582217091685, 37.416389905820374)"
город Докучаевск,г. Докучаевск,"(49.26147644054619, 38.755545775583315)"
город Докучаевск,"ул. Лихолетова, д. 27","(47.93100204924199, 36.58803703468602)"
город Докучаевск,"г. Докучаевск: ул. Центральная, д. 38/14","(49.34592082960248, 38.73309039517278)"
город Докучаевск,"ул. Лихолетова, д. 16/15","(47.64317265267779, 38.27362198710282)"
город Докучаевск,"г. Докучаевск: ул. Лихолетова, 12","(48.18191673992014, 36.229780545630334)"
город Докучаевск,"ул. Лихолетова, 23","(47.43236537617803, 37.17242907432791)"
город Докучаевск,"г. Докучаевск: ул. Лихолетова, б/н (рынок)","(49.04869390160155, 38.52505552310657)"
город Докучаевск,ул. Центральная б/н,"(49.545621212778336, 36.11149962880759)"
город Докучаевск,"ул. Ватутина, 5","(48.14250897055016, 37.86153791561955)"
город Докучаевск,"ул. Ленина, 110","(49.34992902570892, 37.233355288642635)"
город Докучаевск,"ул. Лихолетова, 23б","(49.6166085599113, 37.14703518336462)"
город Докучаевск,"ул. Ленина, 110а","(47.16755146639029, 38.54662651908857)"
город Докучаевск,г. Докучаевск,"(49.62745600731297, 39.451406835684395)"
город Докучаевск,"ул. Тельмана, д. 4","(48.63520787790852, 36.56594602420467)"
город Докучаевск,г. Докучаевск,"(46.37711920811179, 37.97215662555488)"
город Докучаевск,"ул. Лихолетова, 22/1а","(49.35338046433657, 36.42072306806704)"
город Докучаевск,"ул. Лихолетова, 9","(49.06920525190106, 39.200268784810675)"
город Докучаевск,г. Докучаевск,"(48.77378768626721, 37.02833230527802)"
город Докучаевск,"ул. Лихолетова, б/н (возле рынка)","(48.06979198561955, 36.70389241259888)"
город Докучаевск,г. Докучаевск,"(47.896732464092025, 38.962716835092955)"
город Докучаевск,ул. Лихолетова б/н (25/8) (2 маг),"(46.79137912262135, 36.74104245182482)"
город Докучаевск,г. Докучаевск,"(47.14416054723578, 36.44950557432956)"
город Докучаевск,"ул. Крепкого, 2ж","(49.5107469316698, 37.49381175024446)"
город Докучаевск,г. Докучаевск,"(49.80057730725399, 37.72641949780378)"
город Докучаевск,"ул. Дзержинского, 41","(47.06628236338919, 36.55994881116715)"
город Докучаевск,"ул. Петровского, 6","(49.342627639866784, 37.59288626005264)"
город Докучаевск,г. Докучаевск,"(49.74456665746179, 36.88911784416573)"
город Докучаевск,"ул. Лихолетова, 10","(48.500274062669064, 36.78593932043708)"
город Докучаевск,г. Докучаевск,"(47.109775253277114, 38.58549296940974)"
город Докучаевск,"ул. Лихолетова, 10","(46.85511006881786, 37.282629926455996)"
город Докучаевск,г. Докучаевск,"(48.48209019741655, 39.360412950156935)"
город Докучаевск,"ул. Лихолетова, 10","(49.03569287101932, 36.06064797273891)"
город Докучаевск,г. Докучаевск,"(48.6082160469133, 37.82592789336029)"
город Докучаевск,"ул. Калинина, 7","(48.1061013410893, 37.57099603146815)"
город Докучаевск,"ул. Ленина, 104а","(48.6389628160541, 36.12022810033864)"
город Докучаевск,г. Докучаевск,"(48.92422852621489, 37.88528430290545)"
город Докучаевск,ул. Харченка 12а,"(47.32544676531566, 36.941660865621806)"
город Докучаевск,"ул. Маяковского, 32","(48.95462596427437, 37.12007412487413)"
город Докучаевск,г. Докучаевск,"(48.35286157251396, 38.371432371758374)"
город Докучаевск,"ул. Лихолетова, 10","(46.63241029425482, 36.48815111507354)"
город Докучаевск,г. Докучаевск,"(46.7489622115121, 38.87651312292816)"
город Докучаевск,"ул. Центральная, д. 27а","(46.46528379600789, 39.080534511074724)"
город Докучаевск,г. Докучаевск,"(48.07393610539352, 36.63671685705017)"
город Докучаевск,"ул. Лихолетова, 10","(47.57647107373976, 36.98999620032504)"
город Докучаевск,г. Докучаевск,"(48.1242514470277, 37.594651434059365)"
город Докучаевск,ул. Центральная 87/1,"(48.69009092549051, 36.55791405533894)"
город Докучаевск,г. Докучаевск,"(47.228841471807236, 36.180188606322844)"
город Докучаевск,"ул. Центральная, 38","(48.25369711342195, 36.57647016349021)"
город Докучаевск,г. Докучаевск,"(46.38981684638438, 36.65803502584099)"
город Докучаевск,ул.,"(46.21334566954446, 37.506774995598406)"
город Докучаевск,"В. Крепкого, 6","(49.722699051005634, 36.948612521837724)"
город Докучаевск,г. Докучаевск,"(47.201968121958735, 39.461440317640644)"
город Докучаевск,"ул. Ленина, 36","(46.72717127833803, 36.363705220218485)"
город Докучаевск,г. Докучаевск,"(49.16844272395509, 37.34719500157836)"
город Докучаевск,"ул. Калинина, 13/17","(47.89144813593395, 38.755642009268925)"
город Докучаевск,г. Докучаевск,"(46.42285479596278, 39.41705569075984)"
город Докучаевск,"ул. Калинина, 7 ","(46.86890752366671, 39.08735920491122)"
город Докучаевск,"г. Докучаевск, Центральная ,47а","(48.12595011432336, 39.4181844709597)"
город Докучаевск,г. Докучаевск,"(48.49428456668909, 38.09313645083051)"
город Докучаевск,"ул. Центральная, 88","(46.518460851278206, 37.11464403347913)"
город Докучаевск,г. Докучаевск,"(47.05506353786563, 36.55845974166223)"
город Докучаевск,"ул. Лихолетова, 25б","(46.40561185018425, 38.94406970181959)"
"г.Донецк, Буденновский район"," ул. Окября, 25б","(46.946742336558515, 38.23369777562688)"
"г.Донецк, Буденновский район"," ул. 230-й Стрелковой Дивизии, в районе дома № 13","(47.608931226855034, 36.25206406306036)"
"г.Донецк, Буденновский район"," ул. 230-й Стрелковой Дивизии, 22А","(48.45664983598569, 38.527540357087574)"
"г.Донецк, Ворошиловский район","пр-т 25-летия РККА, 5","(48.64676448870716, 39.544765348453126)"
"г.Донецк, Ворошиловский район",пр-т 25-летия РККА (в районе д.11),"(47.86555562596974, 39.34682427982231)"
"г.Донецк, Ворошиловский район","ул. Артема, 75/77","(49.787662176095225, 36.01780740141843)"
"г.Донецк, Ворошиловский район","бул. Пушкина, 25","(47.92955519900772, 37.36199337970511)"
"г. Донецк, Калининский район ",пр. Ильича 91,"(48.1506147363033, 36.58436670179805)"
"г. Донецк, Калининский район ",пр. Ильича 91 №10,"(47.37215468694959, 37.409569662937244)"
"г. Донецк, Калининский район ",пр. Ильича 91 №20,"(47.17279814859086, 39.575603790640834)"
"г. Донецк, Калининский район ",пр. Ильича 91,"(49.58849952958941, 39.466233386233746)"
"г. Донецк, Калининский район ",пр. Ильича 16г,"(46.565417547371105, 36.06339529251228)"
"г. Донецк, Калининский район ","ул, Герцена 24","(47.261854240766795, 39.202743509214024)"
"г. Донецк, Калининский район ","ул. Капитана Ратникова, 45","(47.58359096885755, 36.69732940856638)"
"г. Донецк, Калининский район ",пр. Ильича 32,"(46.833742719715104, 39.28921295653733)"
"г. Донецк, Калининский район ",пр. Ильича 80б,"(47.75027979628555, 39.23497571974208)"
"г. Донецк, Калининский район ",ост.институт  металлов ,"(48.93615974987804, 37.04617182615536)"
"г. Донецк, Калининский район ","ул, Лабутенко, 2","(47.30852405007243, 37.73231696780792)"
"г. Донецк, Калининский район ",пр.Ильича 52,"(47.90663008842146, 38.36798582858451)"
"г.Донецк, Киевский район","пл. Привокзальная, западная сторона 3-я очередь (павю №6-7)","(46.65846343048445, 39.20882373535843)"
"г.Донецк, Киевский район","ул. Товарная, 2б","(49.31577789768327, 39.30808661429809)"
"г.Донецк, Киевский район","ул. Товарная, 2з","(46.48399723263259, 38.1820178302456)"
"г.Донецк, Киевский район","ул. Артема, 130","(46.66489534255373, 37.76349993827852)"
"г. Донецк, Кировский район"," ул. Петровского, 111 г","(46.51318528658524, 39.15594219816396)"
"г. Донецк, Кировский район"," ул. Павла Колодина, 16 а","(46.218331541432626, 38.99052437414995)"
"г. Донецк, Кировский район"," ул. Коммунаров, 46","(49.17701188382552, 39.45086959440054)"
"г. Донецк, Кировский район"," пр. Семашко, 31 а, (маг. ""Чистюля"",","(47.40183076217295, 38.958917176265544)"
"г. Донецк, Кировский район","маг. ""Аромат"")","(47.417674894659, 36.67919463572998)"
"г.Донецк, Куйбышевский район","ул. 60 лет СССР,24а","(49.16715274998281, 36.90306310583376)"
"г.Донецк, Куйбышевский район","пл. Бакинских комиссаров, западнее дома №112","(49.46493606470303, 39.4915491363969)"
"г.Донецк, Куйбышевский район",пл. Бакинских комиссаров,"(46.88422436875926, 39.55453043371125)"
"г.Донецк, Куйбышевский район","ул. Степаненко,4","(47.533836810298155, 37.095338563250344)"
"г. Донецк, Ленинский район"," ул. Тагильская, д. 7 ","(47.08628267460528, 36.63835526091543)"
"г. Донецк, Ленинский район"," ул. Аксакова, 21","(47.451697291835174, 39.42271335656258)"
"г. Донецк, Ленинский район","ул. Куйбышева, 47а","(46.96044557362608, 36.10722365660117)"
"г. Донецк, Пролетарский район"," ул.Литке, 5","(47.875674917901435, 38.11570231715485)"
"г. Донецк, Пролетарский район"," ул.Щетинина, 23а","(49.553633412467036, 39.40251904906525)"
"г. Донецк, Пролетарский район"," ул.Заветная, 20","(46.56449501938281, 37.84686140134256)"
г. Енакиево ,г. Енакиево,"(48.726465016941376, 38.688630813754344)"
г. Енакиево ,"ул. Вильямса, 42 г. Енакиево,","(48.18796406348551, 36.27733010328266)"
г. Енакиево ,"пл. Бурмистрова, д. 4,  г. Енакиево","(47.50125266674411, 37.559705079581384)"
г. Енакиево ,"ул. Броненосца Потемкин,","(47.3613513637106, 36.41273590181809)"
г. Енакиево ,д. 28,"(48.84054723311098, 39.55519450153906)"
г.Енакиево , г. Енакиево,"(48.6310313257421, 39.41278269867674)"
г.Енакиево ,"ул. Октябрьской Революции, 112, г. Енакиево","(47.53665003479719, 39.26496169017895)"
г.Енакиево ,"ул. Толстого, 98","(46.629735845887, 37.816352137355224)"
г. Енакиево ,г. Енакиево,"(46.20715939092073, 38.44706057780043)"
г. Енакиево ,"ул. Саратовская, 1б","(46.62667626185847, 36.42853023910582)"
г. Енакиево ,г. Енакиево,"(47.53875364568903, 38.168889309294066)"
г. Енакиево ,"ул. Коммунистическая, д. 63а","(48.011557920866025, 39.22918491772892)"
г. Енакиево ,"г. Енакиево,","(49.59150536760112, 37.0848672960949)"
г. Енакиево ,"пр. Берегового, д. 3, ","(48.053900881647984, 38.117092933677256)"
г. Енакиево ,  г. Енакиево,"(48.39415102545842, 37.191986803530284)"
г. Енакиево ,"ул. Айвазовского, д. 80,  г. Енакиево","(48.8257585801783, 38.97938133251307)"
г. Енакиево ,"ул. Айвазовского, д. 68а","(47.56447565044186, 36.614106606026155)"
г. Енакиево ,г. Енакиево,"(49.76511099667862, 38.02367420304711)"
г. Енакиево ,"ул. Первомайская,8","(48.58737209667188, 39.449541143267105)"
г. Енакиево ,г. Енакиево,"(48.85260095971931, 36.20047426549474)"
г. Енакиево ,"ул. Первомайская,8","(47.91465022502632, 37.28031693216512)"
г. Енакиево ,г. Енакиево,"(48.71892271662647, 39.24276393891137)"
г. Енакиево ,"ул. Первомайская,8","(49.00964414918545, 38.10528317444776)"
г. Енакиево ,"г. Енакиево,","(49.68143174853358, 37.8016114048581)"
г. Енакиево ,"пр. Забойщиков, д. 4","(46.95242530852239, 38.65391235841219)"
г. Енакиево,г. Енакиево,"(48.304103032327546, 37.00112288066716)"
г. Енакиево,"ул. Щербакова, д. 92/1","(47.91906424093531, 39.12698690735793)"
,"г. Енакиево, пр. Берегового, д. 50д","(49.38987554792933, 37.72642679421257)"
,"г. Енакиево, пр. Металлургов, район гостиницы ""Мир""","(49.51546594839026, 38.304024090839405)"
,,"(48.465033355310865, 37.119221683319495)"
,г. Енакиево,"(47.318849920919526, 36.68688815944049)"
,"ул. Щербакова, д. 84а","(49.35184899567231, 37.17091457027284)"
,". г. Енакиево, пр. Берегового, 48а/2","(49.71035793711242, 36.04581983277634)"
г. Енакиево,"г. Енакиево,","(47.105445231535505, 38.53633932426404)"
г. Енакиево,"пр. Горняков, д. 17","(46.3870231696408, 37.754271380453176)"
г. Енакиево,г. Енакиево,"(47.568178391603674, 36.451630003128194)"
г. Енакиево,"ул. Тиунова, д. 64б","(49.30186254400838, 36.715506897060045)"
г. Енакиево,г. Енакиево,"(48.78198482780497, 37.55761988650036)"
г. Енакиево,"ул. Лермонтова, д. 113а","(48.63345321927559, 38.20329716611949)"
г. Енакиево,г. Енакиево,"(47.237077279629155, 38.711775297297834)"
г. Енакиево,"ул. Тиунова, д. 64в","(48.29574033106353, 39.360958952266174)"
г. Енакиево,"г. Енакиево,","(48.596323670731714, 39.41990261201258)"
г. Енакиево,"пр. Берегового, 38а","(46.28193405393707, 36.479637479648325)"
г. Енакиево,"г. Енакиево,","(46.73986215147602, 36.05059765260061)"
г. Енакиево,"пр. Берегового, 38а","(47.5161604810832, 36.384101149930345)"
г. Енакиево,г. Енакиево,"(49.527373798929084, 37.2313189233294)"
г. Енакиево,"ул. Турутина, 125","(46.312051302360835, 39.21768936918078)"
г. Енакиево,г .Енакиево,"(48.04360501535922, 38.89504170259348)"
г. Енакиево,"ул. Фурманова, 15","(47.01863385547452, 37.500876818117)"
г. Енакиево,"г. Енакиево, пр. Ленина, 100","(49.79457392757863, 36.47332851247511)"
,г. Енакиево,"(47.354919097052104, 38.05879830395921)"
,"ул. Сталеваров,39","(49.43224666636076, 39.59671411828561)"
г. Енакиево,"г. Енакиево,","(49.71164557932892, 37.09766271352712)"
г. Енакиево,"пр. 50 лет Октября, д. 23","(47.761383570704695, 36.34960518129219)"
г. Енакиево,г. Енакиево,"(46.62536451506401, 37.5785538273098)"
г. Енакиево,"ул. Щербакова, д. 131","(47.85993115724573, 38.029124307146375)"
г. Енакиево,г. Енакиево,"(49.31744707782529, 38.5640215741379)"
г. Енакиево,"ул. Зои Космодемьянской,30","(49.45168367083198, 37.042070590885984)"
,г. Енакиево,"(46.33657004539068, 38.93508976920215)"
,"ул. Коммунистическая,12","(48.6581993107936, 38.770248934941606)"
г. Енакиево," г. Енакиево, пр. 50лет Октября, 11","(48.420162528228666, 39.16925168175542)"
г. Енакиево," г. Енакиево, пр. Берегового,50а","(49.27869500538273, 38.80298815184479)"
г. Енакиево,"г. Енакиево,","(48.56663964214871, 36.59805085964349)"
г. Енакиево,"пр. Берегового,50 д","(49.050683288460476, 38.69901974990622)"
г. Енакиево,"г. Енакиево,","(47.70477047824498, 36.991214995945946)"
г. Енакиево,"пр. Металлургов, район""Кокоса""","(48.32670510247805, 36.39895957418146)"
г. Енакиево,г.Енакиево,"(46.888190787641854, 37.264468152367854)"
г. Енакиево,"ул. Краснофлотская, д. 138, помещение 138/72","(47.21110439863934, 38.80986067076756)"
,"г. Енакиево, поселок городского типа Корсунь","(47.509396570222094, 37.93835721805153)"
,"ул. Интернациональная,","(49.77008047304368, 37.116903268086624)"
,д. 61,"(47.64891764113034, 36.21247824576274)"
г. Енакиево,г. Енакиево,"(46.81478592529581, 37.06576027549296)"
г. Енакиево,"ул. Щербакова,","(49.03814851504175, 37.766592583197756)"
г. Енакиево,д. 147,"(48.695654825355376, 36.77668798608415)"
г. Енакиево,г. Енакиево,"(48.219463253918406, 38.0830860669976)"
г. Енакиево,"ул. Промышленная, д. 45а","(47.16229778552506, 38.98339571158231)"
г. Енакиево,г. Енакиево,"(49.18649282209029, 38.331855770079585)"
г. Енакиево,"ул. Тиунова,","(47.89465457425056, 38.356282769587565)"
г. Енакиево,д. 110,"(46.38693530400186, 38.6587331389568)"
г. Енакиево,г. Енакиево,"(48.8856142553455, 38.73132545560375)"
г. Енакиево,"ул. Тиунова,","(48.33353002413209, 36.00921511481738)"
г. Енакиево,д. 110,"(48.957841028318036, 36.07454772514517)"
г. Енакиево," г.Енакиево, пгт.Карло-Марксово","(48.70240792908028, 36.97753882808848)"
г. Енакиево,"ул. Юбилейная, 9 ","(46.41379049291757, 37.14026757478735)"
г. Енакиево,"г.Енакиево, г.Юнокоммунаровск","(46.51539051189363, 36.064901549788885)"
г. Енакиево,"ул. Ильича,21","(49.60942973738617, 39.43758417730175)"
г. Енакиево," г. Енакиево, г. Углегорск","(47.39790165328848, 39.325177907184056)"
г. Енакиево,"ул. Некрасова, д. 22","(46.33273779401583, 37.26538730422911)"
г. Енакиево,"г. Енакиево, пр. Горняков, д. 19","(48.99213372677127, 37.0717276954808)"
г. Енакиево,"г. Енакиево, пр. Горняков, д. 19","(47.414418341180195, 39.18854765963998)"
г. Енакиево,"г. Енакиево, пр. Горняков, д. 19","(47.11237902099673, 37.0152521587668)"
г. Енакиево,"г. Енакиево, г. Углегорск, улица Некрасова, д. 40а","(48.0250742912153, 37.117801063573665)"
г. Енакиево," г.Енакиево, г.Углегорск","(49.19442353629437, 37.30332609116521)"
г. Енакиево,"ул.Некрасова, 28","(46.289034237610664, 38.1350855908076)"
г. Енакиево,"г. Енакиево, г. Углегорск","(47.324592294712886, 36.98649639127853)"
г. Енакиево,"ул. Станкевского, д. 9а","(46.42782313807645, 36.30592940847585)"
г. Енакиево,"г Енакиево, поселок городского типа Карло-Марксово","(49.054107295350896, 37.02385722651354)"
г. Енакиево,"ул. Павлова, д. 4, помещение а","(49.14047579215148, 39.28634278941295)"
г. Енакиево,"г. Енакиево, г. Углегорск","(49.05097664403997, 37.03619408954816)"
г. Енакиево,"ул. Матросова, д. 76","(46.612036360074576, 38.65492262786248)"
,"г. Енакиево, г. Углегорск","(46.48194491514461, 38.910147322919975)"
,"ул. Рокоссовского, д. 6а","(47.470333384823945, 36.75354533738722)"
г. Енакиево,"г. Енакиево, г.Углегорск","(48.9174661286994, 38.574989345798514)"
г. Енакиево,"ул. Дружбы, д. 13","(47.91157195695286, 38.476235895745546)"
г. Енакиево,"г.Енакиево, г.Углегорск","(48.9835980042497, 39.36310727319514)"
г. Енакиево,"ул.Некрасова,23А","(48.81932752572081, 36.69174562870922)"
г. Енакиево," г.Енакиево, г.Углегорск","(47.76281074532653, 38.94280949401885)"
г. Енакиево,"ул. Постышева, 23","(47.45533819635221, 38.43400508434494)"
г.Енакиево ,"г. Енакиево, поселок городского типа Ольховатка","(48.83560112186201, 38.16936671917438)"
г.Енакиево ,"ул. Пионерская, д. 11","(46.583160484955975, 37.27297589723172)"
г.Енакиево ," г.Енакиево, г.Углегорск","(47.390159578473394, 39.439199827714866)"
г.Енакиево ,ул.Красная.51 а,"(48.68712174758717, 39.19689005984909)"
г.Енакиево ,"г.Енакиево, г.Углегорск","(47.88116656975943, 36.821445280903866)"
г.Енакиево ,"ул. Некрасова, 18","(48.4876650945778, 37.20821367168502)"
г.Енакиево ,"г. Енакиево, г. Углегорск","(47.22899544648441, 36.252722384454444)"
г.Енакиево ,"ул. Дружбы, д. 9","(49.099339376954056, 37.85250822055506)"
г.Енакиево ,"г.Енакиево, пгт.Карло-Марксово","(49.69304979937541, 37.08498291481306)"
г.Енакиево ,"ул.Правды,1","(47.03533595376973, 37.619379603999406)"
г.Енакиево ," г.Енакиево, г.Углегорск","(48.14224793876493, 38.07908558112276)"
г.Енакиево ,"ул. Дружбы, д.38А","(46.47083195631521, 37.10179119931307)"
г.Енакиево ," г.Енакиево, пгт.Ольховатка","(47.514454346184365, 39.071249395151966)"
г.Енакиево ,"ул.Пионерская,3","(46.3196460274067, 38.561847040465054)"
г.Енакиево ,"г. Енакиево, г. Углегорск","(46.823924170438026, 36.26522543777578)"
г.Енакиево ,"ул. Некрасова, д. 38","(49.64230761227865, 36.82139554040822)"
г.Енакиево ," г.Енакиево, г.Углегорск","(46.91541101336301, 39.12359333887627)"
г.Енакиево ,"ул.Некрасова,38","(46.80611609567993, 37.116573046320205)"
г.Енакиево ,"г.Енакиево, г.Углегорск","(49.28517697384157, 38.71492036914023)"
г.Енакиево ,"ул. Некрасова, 18","(46.58798621872733, 38.807789067689754)"
г.Енакиево ,"  г.Енакиево, г.Углегорск, пос.Савельевка ул.Маяковского 4/1","(48.80132737217894, 36.10459720844664)"
г.Енакиево ,"г.Енакиево пгт.Ольховатка ул.Ленина, д. 33а","(46.27485742462614, 36.2794295998167)"
г.Енакиево ," г.Енакиево, поселок городского типа Ольховатка","(49.44463419609912, 36.844516578599226)"
г.Енакиево ,"ул. Ленина, д. 85а","(49.105107303713545, 38.111877568005085)"
г.Енакиево ," г.Енакиево, поселок городского типа Ольховатка","(46.65465764024497, 36.80339574694703)"
г.Енакиево ,"ул. Ленина, д. 85а","(46.52757062855515, 38.90822532450869)"
г.Енакиево ," г.Енакиево, пгт.Карло-Марксово","(48.753755964123926, 36.58168903159647)"
г.Енакиево ,"ул.Магистральная,","(48.19456638326524, 38.33185326158862)"
г.Енакиево ,16,"(49.038790490111026, 36.69710941119041)"
,"г.Енакиево, г.Углегорск","(48.85333340674617, 36.52441669463854)"
,"ул.Больничная, 1","(49.47570560141037, 39.38994549742071)"
,"г.Енакиево. г.Углегорск, п.Савельевка","(49.6252832910063, 36.455603944734854)"
,"ул.Маяковского, 112","(46.23498022684731, 38.06182880852709)"
,"г. Енакиево, поселок городского типа Карло-Марксово","(47.44259997229526, 37.38817358552569)"
,"ул. Колхозная, д. 1а","(46.518839939611475, 37.49291637550189)"
г.Енакиево ,"г.Енакиево,","(49.6307245205075, 38.43129945365175)"
г.Енакиево ,"пр.Берегового, 50 е","(49.089172672615604, 38.36790705846556)"
г.Енакиево ,"г.Енакиево,","(47.32900377945525, 37.646739437706785)"
г.Енакиево ,"пр.Берегового, 50 е","(49.539609508709475, 38.4249184021602)"
г.Енакиево ,"г.Енакиево,","(49.68051984637048, 39.37320387776223)"
г.Енакиево ,"пл.Бурмистрова, 4","(47.12593822804599, 36.070440349121924)"
," г.Енакиево,","(49.04278966041541, 36.39902444523819)"
,"пр.Берегового,50 е","(48.97588786711269, 36.429000537570175)"
г.Енакиево ,г.Енакиево,"(46.3796620588445, 37.76286493478946)"
г.Енакиево ,"ул.Коммунистическая,24а/2","(47.55247633442461, 36.95904390741162)"
,"г.Енакиево,","(46.76583310613215, 37.95285766902732)"
,"пр.Металлургов, район ""Кокоса""","(48.70305246693975, 37.06606538115401)"
г.Енакиево ,г.Енакиево,"(48.666237375415285, 36.51659553710097)"
г.Енакиево ,"ул.Коммунистическая, 40","(49.20760935874851, 37.95430569377552)"
г.Енакиево ,г.Енакиево,"(48.0910007951254, 37.34948123987625)"
г.Енакиево ,"ул.Коммунистическая, 40","(49.57948488742167, 38.11894388119138)"
г.Енакиево ,"г. Енакиево, пр. Берегового, 48а/2","(49.00215428645697, 37.5115997745756)"
г.Енакиево,"г. Енакиево,","(48.06696244467534, 39.01185023284511)"
г.Енакиево,"пр. Берегового, 50г","(46.384068260720284, 37.102090064719675)"
г.Енакиево,г.Енакиево,"(49.600587731788984, 37.865530733483055)"
г.Енакиево,"ул.Ялтинская, 1 пос.Еленовка","(49.305448650159846, 38.15987553226708)"
г.Енакиево,"г. Енакиево,","(48.650432205342604, 37.44874446048226)"
г.Енакиево,г. Юнокоммунаровск,"(49.252744464256196, 38.825888863690004)"
г.Енакиево,"ул. Юбилейная, д. 11","(49.682196771178226, 38.84685295186121)"
,г. Енакиево,"(49.42636190564818, 37.61396070879321)"
,"ул. Коммунистическая, 57-1,2","(47.51861756346393, 38.35439269632528)"
г.Енакиево,"г.Енакиево, пр.Металлургов, район гостиницы ""Мир""","(47.20296082023434, 36.12923580170791)"
,"г. Енакиево, пр. Берегового, район трамвайного кольца","(46.873242023673775, 38.6693740276724)"
г.Енакиево, г.Енакиево,"(48.43311056432672, 37.36059707087324)"
г.Енакиево,"ул. Щербакова, д. 79","(48.1425695372403, 37.44559923449651)"
,г. Енакиево,"(49.486732231330535, 38.79478615797497)"
,"ул. Щербакова,","(47.372592278309014, 38.9951172027749)"
,д. 86,"(49.103753463177824, 39.20355311135591)"
,г.Енакиево,"(48.86297644419784, 36.273793990243526)"
,"ул.Вильямса, 42","(49.388750206916114, 36.68550057681921)"
,г.Енакиево,"(47.32374445906759, 38.19738639510008)"
,"ул.Щербакова, 147","(48.24923666263626, 37.61629863744727)"
," г. Енакиево, пр. Берегового,","(47.15445268201777, 37.188193953770494)"
,д. 38а,"(46.36153038287031, 37.95843813144041)"
г.Енакиево,"г Енакиево, поселок городского типа Карло-Марксово, ул Клубная, д. 6","(47.71928004878507, 37.32877461358909)"
г.Енакиево,г. Енакиево,"(49.22310201516283, 38.80156945505526)"
г.Енакиево,"ул. Свердлова, д. 92","(47.98807940985094, 37.398632574927795)"
г.Енакиево,"г. Енакиево, г. Юнокоммунаровск","(46.27207836632362, 37.385245356574515)"
г.Енакиево,"ул.Рахманинова, д. 11","(48.94620861670432, 37.55430038202383)"
г.Енакиево,"г. Енакиево, г. Юнокоммунаровск","(47.49138285735319, 38.90676429722747)"
г.Енакиево,"ул. Ильича, д. 17","(48.81707211768636, 38.60397122954641)"
г.Енакиево," г.Енакиево, пгт.Булавинское ул.Октябрьская, 49/2","(49.0213033763477, 38.97339939375947)"
г.Енакиево,"г. Енакиево, г. Юнокоммунаровск","(49.4188606918678, 36.8941771020079)"
г.Енакиево,"ул.Юбилейная, д. 9","(46.90564361889809, 39.231737244430974)"
г.Енакиево,"г.Енакиево, пгт.Булавинское","(49.15602834692928, 36.121311750015664)"
г.Енакиево,"ул.Октябрьская, 51","(46.45228560496226, 36.247020244614895)"
г.Енакиево,"г.Енакиево, пгт.Булавинское","(48.23951911177077, 36.54513903371578)"
г.Енакиево,"ул.Октябрьская,34/1","(48.507191618282626, 36.48084828614319)"
г.Енакиево,"г. Енакиево, г. Углегорск","(47.97921457108833, 39.45918842628054)"
г.Енакиево,"ул.Пархоменко, д. 20а","(48.66829625194186, 38.99597297929408)"
г.Енакиево," г.Енакиево, пгт.Булавинское","(47.334626191069496, 37.31012056837868)"
г.Енакиево,"ул. Чкалова,5","(46.408423608185736, 37.618597813648584)"
г.Енакиево,"г.Енакиево, пгт.Булавинское","(46.27233039439153, 36.81155559072102)"
г.Енакиево,"ул.Октябрьская, 23","(46.47119175073277, 36.93699323836121)"
г.Енакиево,"г. Енакиево, пр. Берегового,","(46.852888030074354, 37.2171456391505)"
г.Енакиево,д. 50,"(49.083160531517784, 36.17895396413067)"
г.Енакиево,г.Енакиево,"(46.706286725407296, 36.81782183715723)"
г.Енакиево,"ул. 1-я Кооперативная, д. 87","(47.047942454468334, 39.15577568438922)"
г.Енакиево,"г. Енакиево, поселок городского типа Ольховатка","(49.461174985592535, 38.21953608334782)"
г.Енакиево,"ул. Комсомольская, 41-1","(48.40545863860342, 37.734371824652236)"
г.Енакиево,"г.Енакиево пгт. Ольховатка ул.Ленина, 33 в","(46.58252491250587, 36.826542115707355)"
г.Енакиево,"г. Енакиево, пр. 50 лет Октября, д. 17/56, помещение 17/56в","(46.457644831728324, 39.53562239270128)"
г.Енакиево,"г. Енакиево, пр.50 лет Октября, д. 17/56, помещение 17/56в","(47.08698863643211, 36.02250390784501)"
г.Енакиево,г. Енакиево,"(46.545190948513465, 38.05032193804511)"
г.Енакиево,"ул. Баха, д. 10","(46.94547592834726, 37.90117305217233)"
г.Енакиево,г.Енакиево,"(47.377779840412465, 37.21106156707158)"
